PROVIDER_ID,ORGANIZATION_ID,PROVIDER_NAME,SPECIALTY,NPI
379e1599-0032-362a-83fb-7f28ddfb3871,3c40342c-da96-5e2f-9978-2cfe6db6380d,Milford Olson,Obstetrics and Gynecology,1900000001
dc940658-fd6f-3812-a4dc-8601d05aa7f4,2451ce7b-281c-5309-9383-0976e52f535c,Philip Ziemann,Cardiology,1900000002
ca1a697c-76e8-3d7d-b78a-b41a132fd854,d50afb65-1d76-5297-a76b-25ec8a1e08b2,Scottie Kuhn,Dermatology,1900000003
c876aac3-8c7e-3a0d-997f-e796d7d5c3db,3f417093-9591-54fa-8e89-62fdab16a398,Theodora Yundt,Urgent Care,1900000004
adda5c03-0c7b-32e2-a457-2626dfc81e2a,fec57d15-486f-57ec-b809-c978562e8865,Louetta Walsh,Family Medicine,1900000005
ad7acb11-94e7-337c-9ebc-1fb69135a644,d0f52152-9a85-52c8-8397-9cd145941cdd,Elisha Toy,Pediatrics,1900000006
c8432393-9a0f-342e-bc3b-922c7ff3eee3,d0f52152-9a85-52c8-8397-9cd145941cdd,Jeramy Quigley,Pediatrics,1900000007
9c353cd0-b3d0-3f16-b708-b11f5a03009d,b124a580-eb0c-5a8c-9af4-13eb91cef0ff,Marcelino Terry,Internal Medicine,1900000008
54b06aec-62f4-347c-bd09-165cbba80360,3c40342c-da96-5e2f-9978-2cfe6db6380d,Leonor Nájera,Obstetrics and Gynecology,1900000009
460c4e75-95d7-3b38-ab21-a05afa29dfac,79089f93-7da4-56a0-86d4-3fe8c11518be,ESTER VALLEJO,Endocrinology,1900000010
84f8ae49-960d-3689-a4f9-6c3f11678848,6f2a9893-b972-59ac-ab56-16abdd42a222,Darcie Pfeffer,Behavioral Health,1900000011
526848d0-1d53-33d9-9e9d-cd1afca52aa7,fec57d15-486f-57ec-b809-c978562e8865,Drusilla Bauch,Family Medicine,1900000012
bbce7d22-e056-34c4-8013-6ca4332e3fb5,2451ce7b-281c-5309-9383-0976e52f535c,Kendal Hoppe,Cardiology,1900000013
f250b804-bb66-3378-a570-967aa25409e2,d50afb65-1d76-5297-a76b-25ec8a1e08b2,Dale Kessler,Dermatology,1900000014
69743080-801f-33ae-823e-53b426e15026,938e7b87-1b88-5f5c-a1a4-2976b3939d50,Kandi Hermann,Family Medicine,1900000015
1b75d7a2-3964-340e-b025-c5e2d3506244,d0f52152-9a85-52c8-8397-9cd145941cdd,Jeramy Littel,Pediatrics,1900000016
1b36d2ba-7a2f-38e9-ad31-6c1fe4023901,6f2a9893-b972-59ac-ab56-16abdd42a222,  Tana Weimann ,Behavioral Health,1900000017
78320f58-6de6-3c15-8be1-ead01d95828d,3f417093-9591-54fa-8e89-62fdab16a398,Sydney Roob,Urgent Care,1900000018
163f7daa-bfba-33a8-9ea2-554587a3cbef,fec57d15-486f-57ec-b809-c978562e8865,Rickie Hauck,Family Medicine,1900000019
80f4ec44-c5c5-3925-80fa-512f3e8bd06f,3f417093-9591-54fa-8e89-62fdab16a398,Adelia Blick,Urgent Care,1900000020
08539150-3673-333b-b5d5-e6f3adde8870,6f2a9893-b972-59ac-ab56-16abdd42a222,Hassan Rath,Behavioral Health,1900000021
4221dffb-da1c-3f1e-96c2-e58df6ec7b01,938e7b87-1b88-5f5c-a1a4-2976b3939d50,Glenn Feeney,Family Medicine,1900000022
2fb72eaa-41d3-3c7d-a726-dc2489e10959,fec57d15-486f-57ec-b809-c978562e8865,Mary Hirthe,Family Medicine,1900000023
06f0ed2a-9724-3524-8dfb-2a10b94c82b6,79089f93-7da4-56a0-86d4-3fe8c11518be,Lenore Moen,Endocrinology,1900000024
8cddbb1b-7e2c-3bf0-957e-bc62c160cfc5,d0f52152-9a85-52c8-8397-9cd145941cdd,Rivka Sanford,Pediatrics,1900000025
58b66cc1-2b86-377f-ad77-ad8164388e50,2451ce7b-281c-5309-9383-0976e52f535c,Veda Pfeffer,Cardiology,1900000026
